nice to see you here 🦜🦾,"This data is maintained @sureailabs, @proximasan, @EErratica, and @KyrickYoung as part our ongoing Image Synthesis Style Studies project, started in Feb 2022. Its purpose is to document artist names and other prompt modifier keywords (see tabs) that are recognized by AI text-to-image synthesis models, such as the CLIP models used in Disco Diffusion and Stable Diffusion. We are not afilliated with the development or training of these models.
Bagshaw,Tom,Yes,x,Yes,x,"character, dark, fantasy, scene",N/A,sureailabs,x,x,5,
Baheux,Laurent,Yes,x,Yes,x,"photography, monochromatic, high contrast, nature, animals, landscape",N/A,sureailabs,x,x,15,
Bailey,David,Yes,x,No,x,"photography,",N/A,sureailabs,x,x,15,
Bailly,Alice,Yes,x,Yes,x,"cubism, high contrast, fauvism",1938,proximasan,x,x,9,
Bak,Karol,Yes,x,Yes,x,"character, vibrant",N/A,sureailabs,x,x,1,
Bakshi,Ralph,Yes,x,Yes,x,cartoon,N/A,sureailabs,x,x,13,AKA Giorgio Barbarelli da Castelfranco
Bakst,Léon,Yes,x,Yes,x,"romanticism, art nouveau",1924,sureailabs,x,x,13,
Balaskas,Christopher,Yes,x,Yes,x,"vibrant, digital, landscape, sci-fi, space",N/A,sureailabs,x,x,5,
Baldridge,Jamie,Yes,x,Yes,x,"photography, dark",N/A,sureailabs,x,x,9,
Baldung,Hans,Yes,x,Yes,x,"renaissance,",1545,KyrickYoung,x,x,2,
Balfour,Ronald,Yes,x,Yes,x,"art deco, art nouveau, watercolor",1941,sureailabs,x,x,7,
Balivet,Emily,Yes,x,Yes,x,"detailed, art nouveau, colorful",N/A,sureailabs,x,x,13,
Balke,Peder,Yes,x,Yes,x,"landscape, seascape, cloudscape",1887,sureailabs,x,x,11,
Balla,Giacomo,Yes,x,Yes,x,"cubism, abstract",1958,sureailabs,x,x,7,
Balthus,N/A,Yes,x,Yes,x,"scene, dark, watercolor",2001,sureailabs,x,x,11,
Baluschek,Hans,Yes,x,Yes,x,"dark, cityscape, realism",1935,sureailabs,x,x,10,
Bana,Benedick,Yes,x,Yes,x,"character, sci-fi, messy, monochromatic, 3d",N/A,sureailabs,x,x,11,
Banksy,N/A,Yes,x,Yes,x,"street art, graffiti, high contrast",N/A,sureailabs,x,x,1,
Barbarelli da Castelfranco,Giorgio,Yes,x,Yes,x,"scene, portrait, renaissance",1510,sureailabs,x,x,11,
Barbey,Thomas,Yes,x,Yes,x,"photography, monochromatic, surrealism",N/A,sureailabs,x,x,13,
Barbier,George,Yes,x,Yes,x,"art deco, art nouveau",1932,sureailabs,x,x,12,
Barker,Cicely Mary,Yes,x,Yes,x,"fantasy, whimsical, character",1973,sureailabs,x,x,5,
Barker,Clive,Yes,x,Yes,x,"expressionism, pop art, abstract",N/A,sureailabs,x,x,12,
Barks,Carl,Yes,x,Yes,x,"cartoon,",2000,sureailabs,x,x,5,
Barlach,Ernst,Yes,x,Yes,x,"realism, expressionism, monochromatic, art nouveau",1938,sureailabs,x,x,12,
Barlow,Phyllida,Yes,x,Yes,x,"sculpture, installation, expressionism",N/A,sureailabs,x,x,12,
Barlowe,Wayne,Yes,x,Yes,x,"sci-fi, fantasy, dark,",N/A,KyrickYoung,x,x,2,
Barnes,Ernie,Yes,x,Yes,x,"melanin, scene, expressionism",2009,proximasan,x,x,10,
Barnet,Will,Yes,x,Yes,x,"high contrast, scene",2012,sureailabs,x,x,8,
Barney,Matthew,Yes,x,Yes,x,"photography, surrealism, sculpture",N/A,sureailabs,x,x,15,
Barns-Graham,Wilhelmina,Yes,x,Yes,x,abstract,2004,proximasan,x,x,13,
Barrett,Angela,Yes,x,Yes,x,"children's illustration, scene",N/A,proximasan,x,x,13,
Barry,Lynda,Yes,x,Yes,x,"cartoon, messy",N/A,sureailabs,x,x,9,
Barson,Paul,Yes,x,Yes,x,"dark, photography",N/A,sureailabs,x,x,9,
Bartlett,Bo,Yes,x,Yes,x,"realism, scene, clean",N/A,proximasan,x,x,10,
Basch,Peter,Yes,x,Yes,x,"photography, monochromatic, figurativism",2004,proximasan,x,x,13,
Baselitz,Georg,Yes,x,Yes,x,"messy, expressionism, figurativism",N/A,proximasan,x,x,12,
Baseman,Gary,Yes,x,Yes,x,"pop art, surrealism, cartoon",N/A,sureailabs,x,x,14,
Basquiat,Jean-Michel,Yes,x,Yes,x,"expressionism, messy",1988,sureailabs,x,x,1,
Bassano,Jacopo,Yes,x,Yes,x,"renaissance, scene",1592,proximasan,x,x,13,
Basse,Willem,Yes,x,Yes,x,romanticism,1653,proximasan,x,x,13,
Bassman,Lillian,Yes,x,Yes,x,"photography, monochromatic, fashion, portrait, character",2012,proximasan,x,x,12,
Bastien-Lepage,Jules,Yes,x,Yes,x,"realism, impressionism",1884,sureailabs,x,x,5,
Bateman,Robert,Yes,x,Yes,x,"animals, nature, realism",N/A,proximasan,x,x,13,
Bates,David,Yes,x,Yes,x,"high contrast, landscape",1921,sureailabs,x,x,7,
Batho,John,Yes,x,Yes,x,"photography, abstract, monochromatic, high contrast",N/A,proximasan,x,x,13,
Batoni,Pompeo,Yes,x,Yes,x,"baroque, portrait, scene",1787,sureailabs,x,x,12,
Bauer,John,Yes,x,Yes,x,"whimsical, watercolor,",1918,KyrickYoung,x,x,2,
Baugh,Casey,Yes,x,Yes,x,"portrait, expressionism, realism",N/A,sureailabs,x,x,11,
Baumann,Gustave,Yes,x,Yes,x,"realism, landscape, nature",1971,sureailabs,x,x,11,
Baumeister,Willi,Yes,x,Yes,x,abstract,1955,sureailabs,x,x,12,
Bawden,Edward,Yes,x,Yes,x,"watercolor, landscape, cityscape",1989,proximasan,x,x,13,
Bayer,Herbert,Yes,x,Yes,x,"graphic design, colorful, vibrant, bauhaus",1985,proximasan,x,x,12,
Bazille,Frederic,Yes,x,Yes,x,"impressionism, scene, still life",1870,proximasan,x,x,12,
Beal,Gifford,Yes,x,Yes,x,impressionism,1956,sureailabs,x,x,9,
Beale,Mary,Yes,x,Yes,x,"portrait, realism, baroque",1699,proximasan,x,x,12,
Bean,Alan,Yes,x,Yes,x,"space, personality, sci-fi",2018,proximasan,x,x,12,
Bearden,Romare,Yes,x,Yes,x,"realism, cubism, vibrant, expressionism, melanin",1988,sureailabs,x,x,12,
Beardsley,Aubrey,Yes,x,Yes,x,"high contrast, art nouveau",1898,sureailabs,x,x,5,
Beaton,Cecil,Yes,x,Yes,x,"photography, portrait, monochromatic, fashion",1980,sureailabs,x,x,12,
Beaton,Kate,Yes,x,Yes,x,"comics, cartoon",N/A,sureailabs,x,x,9,
Beauvarlet,Jacques-Firmin,Yes,x,Yes,x,romanticism,1797,sureailabs,x,x,12,
Beaux,Cecilia,Yes,x,Yes,x,"impressionism, portrait",1942,sureailabs,x,x,12,
Bechdel,Alison,Yes,x,Yes,x,"comics, cartoon",N/A,sureailabs,x,x,12,
Becket-Griffith,Jasmine,Yes,x,Yes,x,"fantasy, portrait, whimsical, vibrant",N/A,sureailabs,x,x,7,
Beckmann,Max,Yes,x,Yes,x,"high contrast, expressionism",1950,sureailabs,x,x,3,
Beecroft,Vanessa,Yes,x,Yes,x,"nudity, character, portrait, photography",N/A,proximasan,x,x,12,
Beeple,N/A,Yes,x,Yes,x,digital,N/A,sureailabs,x,x,1,
Beksiński,Zdzisław,Yes,x,Yes,x,"surrealism, dark, horror,",2005,sureailabs,x,x,1,Produces slightly different effect without diacritics (in DD)
Bell,Julie,Yes,x,Yes,x,"fantasy, nature, dragons",N/A,KyrickYoung,x,x,2,
Bell,Vanessa,Yes,x,Yes,x,"fauvism, portrait",1961,proximasan,x,x,13,
Bellmer,Hans,Yes,x,Yes,x,"photography, dark, surrealism",1975,KyrickYoung,x,x,2,
Bellotto,Bernardo,Yes,x,Yes,x,"landscape, cityscape, architecture",1780,proximasan,x,x,12,
